"№","Наименование поля","Описание","Формат значения поля"
1,"id:",,"xsd:string"
2,"Название:",,"xsd:string"
3,"Название (in english):",,"xsd:string"
4,"Активный:",,"xsd:string"
5,"Краткое описание:",,"xsd:string"
6,"Детальное описание:",,"xsd:string"
7,"Краткое описание (in english):",,"xsd:string"
8,"Детальное описание (in english):",,"xsd:string"
9,"МО:",,"xsd:string"
10,"Субъект федерации:",,"xsd:string"
11,"Значимость:",,"xsd:string"
12,"Населённый пункт:",,"xsd:string"
13,"Населённый пункт (in english):",,"xsd:string"
14,"Адрес:",,"xsd:string"
15,"Адрес (in english):",,"xsd:string"
16,"ОКТМО:",,"xsd:string"
17,"ФЦП (федеральная целевая программа):",,"xsd:string"
18,"Действия с объектом:",,"xsd:string"
19,"Дата начала строительства / реконструкции:",,"xsd:string"
20,"Дата завершения строительства / реконструкции:",,"xsd:string"
21,"Общий объём финансирования:",,"xsd:decimal"
22,"Финансирование из федерального бюджета:",,"xsd:decimal"
23,"Финансирование из федерального бюджета (из них освоено):",,"xsd:decimal"
24,"Финансирование из бюджета субъекта федерации:",,"xsd:decimal"
25,"Финансирование из бюджета субъекта федерации (из них освоено):",,"xsd:decimal"
26,"Финансирование из бюджета муниципального образования:",,"xsd:decimal"
27,"Финансирование из бюджета муниципального образования (из них освоено):",,"xsd:undefined"
28,"Финансирование из внебюджетных источников:",,"xsd:decimal"
29,"Финансирование из внебюджетных источников (из них освоено):",,"xsd:decimal"
30,"Ключевой или нет?:",,"xsd:undefined"
31,"Курирующий орган:",,"xsd:string"
32,"Курирующий орган (in english):",,"xsd:undefined"
33,"Адрес курирующего органа:",,"xsd:string"
34,"Адрес курирующего органа (in english):",,"xsd:undefined"
35,"Телефон курирующего органа:",,"xsd:string"
36,"Контактный телефон объекта:",,"xsd:string"
37,"Режим работы Пн.-Пт.:",,"xsd:string"
38,"Режим работы Сб.:",,"xsd:string"
39,"Режим работы Вс.:",,"xsd:string"
40,"Площадь:",,"xsd:decimal"
41,"E-mail:",,"xsd:string"
42,"URL сайта:",,"xsd:string"
43,"Внесён в реестр?:",,"xsd:string"
44,"Тип спортивного комплекса:",,"xsd:string"
45,"Какие соревнования проводятся?:",,"xsd:string"
46,"Виды спорта:",,"xsd:string"
47,"Яндекс координата объекта X:",,"xsd:geolongitude"
48,"Яндекс координата объекта Y:",,"xsd:geolatitude"
49,"Маштаб Яндекс-карты:",,"xsd:decimal"
50,"Яндекс координата центра X:",,"xsd:decimal"
51,"Яндекс координата центра Y:",,"xsd:decimal"
52,"Мини координата X:",,"xsd:decimal"
53,"Мини координата Y:",,"xsd:decimal"
54,"Генеральный план:",,"xsd:decimal"
55,"Дополнительные планы:",,"xsd:decimal"
56,"Фото:",,"xsd:decimal"
57,"URL фото галереи объекта:",,"xsd:string"
58,"Видео:",,"xsd:decimal"
59,"Панорамы:",,"xsd:decimal"
60,"Web-трансляции:",,"xsd:decimal"
61,"Прочие материалы:",,"xsd:decimal"
